Date,Team 1,FT,HT,Team 2
Sat Aug 1 2020,Aberdeen,0-1,0-1,Rangers
Sat Aug 1 2020,Dundee United,1-1,1-0,St Johnstone
Sat Aug 1 2020,Hibernian,2-1,2-1,Kilmarnock
Sat Aug 1 2020,St Mirren,1-0,1-0,Livingston
Sun Aug 2 2020,Celtic,5-1,2-1,Hamilton
Mon Aug 3 2020,Ross County,1-0,1-0,Motherwell
Sat Aug 8 2020,Hamilton,0-1,0-0,Ross County
Sat Aug 8 2020,Livingston,1-4,0-3,Hibernian
Sat Aug 8 2020,Motherwell,0-1,0-0,Dundee United
Sun Aug 9 2020,Rangers,3-0,1-0,St Mirren
Sun Aug 9 2020,Kilmarnock,1-1,1-1,Celtic
Tue Aug 11 2020,Dundee United,0-1,0-0,Hibernian
Wed Aug 12 2020,Motherwell,2-2,2-1,Livingston
Wed Aug 12 2020,Rangers,3-0,2-0,St Johnstone
Wed Aug 12 2020,Ross County,2-2,1-0,Kilmarnock
Sat Aug 15 2020,Hamilton,0-1,0-1,St Mirren
Sat Aug 15 2020,Kilmarnock,1-2,0-0,St Johnstone
Sat Aug 15 2020,Ross County,1-2,1-1,Dundee United
Sat Aug 15 2020,Hibernian,0-0,0-0,Motherwell
Sun Aug 16 2020,Livingston,0-0,0-0,Rangers
Thu Aug 20 2020,St Johnstone,0-1,0-0,Aberdeen
Sat Aug 22 2020,Motherwell,0-1,0-0,Hamilton
Sat Aug 22 2020,Rangers,2-0,0-0,Kilmarnock
Sat Aug 22 2020,St Mirren,1-1,1-0,Ross County
Sat Aug 22 2020,Dundee United,0-1,0-0,Celtic
Sun Aug 23 2020,Aberdeen,2-1,0-0,Livingston
Sun Aug 23 2020,St Johnstone,0-1,0-0,Hibernian
Sat Aug 29 2020,Kilmarnock,4-0,2-0,Dundee United
Sat Aug 29 2020,Livingston,1-0,0-0,Ross County
Sat Aug 29 2020,St Johnstone,1-0,0-0,St Mirren
Sat Aug 29 2020,Hamilton,0-2,0-2,Rangers
Sun Aug 30 2020,Celtic,3-0,1-0,Motherwell
Sun Aug 30 2020,Hibernian,0-1,0-1,Aberdeen
Sat Sep 12 2020,Aberdeen,1-0,1-0,Kilmarnock
Sat Sep 12 2020,Livingston,1-2,1-0,Hamilton
Sat Sep 12 2020,Motherwell,1-0,1-0,St Johnstone
Sat Sep 12 2020,Rangers,4-0,2-0,Dundee United
Sat Sep 12 2020,Ross County,0-5,0-2,Celtic
Sat Sep 12 2020,St Mirren,0-3,0-2,Hibernian
Wed Sep 16 2020,St Mirren,1-2,1-2,Celtic
Sat Sep 19 2020,Celtic,3-2,2-1,Livingston
Sat Sep 19 2020,Dundee United,2-1,1-0,St Mirren
Sat Sep 19 2020,Kilmarnock,2-1,1-1,Hamilton
Sat Sep 19 2020,St Johnstone,0-1,0-1,Ross County
Sun Sep 20 2020,Hibernian,2-2,1-1,Rangers
Sun Sep 20 2020,Aberdeen,0-3,0-3,Motherwell
Sat Sep 26 2020,Hamilton,1-1,0-1,Dundee United
Sat Sep 26 2020,Livingston,2-0,2-0,St Johnstone
Sat Sep 26 2020,St Mirren,0-1,0-1,Kilmarnock
Sun Sep 27 2020,Motherwell,1-5,0-3,Rangers
Sun Sep 27 2020,Celtic,3-0,2-0,Hibernian
