Date,Team 1,FT,HT,Team 2
Sat Feb 29 2020,DC United,1-2,?,Colorado Rapids
Sat Feb 29 2020,Montreal Impact,2-1,?,New England Revolution
Sat Feb 29 2020,Houston Dynamo,1-1,?,Los Angeles Galaxy
Sat Feb 29 2020,San Jose Earthquakes,2-2,?,Toronto FC
Sat Feb 29 2020,FC Dallas,2-0,?,Philadelphia Union
Sat Feb 29 2020,Orlando City,0-0,?,Real Salt Lake
Sat Feb 29 2020,Nashville SC,1-2,?,Atlanta Utd
Sat Feb 29 2020,Vancouver Whitecaps,1-3,?,Sporting Kansas City
Sun Mar 1 2020,Columbus Crew,1-0,?,New York City
Sun Mar 1 2020,New York Red Bulls,3-2,?,FC Cincinnati
Sun Mar 1 2020,Seattle Sounders,2-1,?,Chicago Fire
Sun Mar 1 2020,Los Angeles FC,1-0,?,Inter Miami CF
Sun Mar 1 2020,Portland Timbers,1-3,?,Minnesota United
Sat Mar 7 2020,New England Revolution,1-1,?,Chicago Fire
Sat Mar 7 2020,Real Salt Lake,1-1,?,New York Red Bulls
Sat Mar 7 2020,FC Dallas,2-2,?,Montreal Impact
Sat Mar 7 2020,DC United,2-1,?,Inter Miami CF
Sat Mar 7 2020,Toronto FC,1-0,?,New York City
Sat Mar 7 2020,Atlanta Utd,2-1,?,FC Cincinnati
Sat Mar 7 2020,San Jose Earthquakes,2-5,?,Minnesota United
Sat Mar 7 2020,Sporting Kansas City,4-0,?,Houston Dynamo
Sat Mar 7 2020,Colorado Rapids,2-1,?,Orlando City
Sat Mar 7 2020,Los Angeles Galaxy,0-1,?,Vancouver Whitecaps
Sat Mar 7 2020,Seattle Sounders,1-1,?,Columbus Crew
Sun Mar 8 2020,Portland Timbers,1-0,?,Nashville SC
Sun Mar 8 2020,Los Angeles FC,3-3,?,Philadelphia Union
